timestamp,delta1,delta2_5,delta5,ema,price
2025-03-12 13:00:02.163252,-20.879596850000013,-62.81154149999995,-47.17171210999891,82147.20378757261,84029.355
2025-03-12 12:59:02.517409,-7.32237766999981,-63.53125862999997,-41.09582752999893,82063.80052659388,83977.585
2025-03-12 12:58:02.208039,-23.52695971000003,-46.59263685000019,-50.08163984999936,82058.83189914291,83861.665
2025-03-12 12:57:01.978830,-26.86494270999981,-45.6332912,-41.43710948999899,82061.05150698604,83896.305
2025-03-12 12:56:02.287860,-2.5558168999999964,-30.594253230000163,-29.972164419999388,82056.56523247625,83828.365
2025-03-12 12:55:01.495923,6.5916987299999334,-29.814806140000314,-16.957565849999526,82054.55346777035,83758.35
2025-03-12 12:54:01.577357,13.68302461999997,-25.38698177000012,-11.255326439999465,82052.76131090762,83625.915
2025-03-12 12:53:01.541139,11.051135759999909,-21.408773180000253,-12.666756949999353,82054.72993835859,83745.685
2025-03-12 12:52:02.948635,-18.095983259999997,-35.93339885000023,-27.458847829999343,82058.89072267232,83876.935
2025-03-12 12:51:02.258629,-72.8074144400002,-39.222669160000294,-28.326906419999602,82055.34954620173,83844.145
2025-03-12 12:50:02.154425,-25.01106245000014,-36.95400789000041,1.8934133500001735,82049.07503639781,83617.465
2025-03-12 12:49:01.531927,-28.979941800000006,-38.41502926000024,-1.005828069999552,82050.56523247625,83612.7
2025-03-12 12:48:01.569268,-2.472029980000144,-39.537059420000446,7.9437585199999035,82044.82797757428,83493.04
2025-03-12 12:47:01.909101,21.916009530000025,-33.09798985000023,5.627317210000172,82045.53778149585,83507.015
2025-03-12 12:46:02.220710,35.11139331999982,-20.534970170000463,18.189967339999953,82044.87895796644,83485.905
2025-03-12 12:45:01.980848,-5.096273480000065,-32.136805840000335,6.2010344700000815,82048.4162128684,83682.015
2025-03-12 12:44:01.668336,-27.2534105200002,-45.52581975000024,-14.67592955999936,82052.78484031938,83690.085
2025-03-12 12:43:02.063710,-26.52812995000025,-35.46347801000039,-21.53859713999981,82055.15346777036,83827.38
